Timestamp,Valor(m)
1756527293,6.585
1756527593,6.581
1756527893,6.583
1756528193,6.582
1756528493,6.587
1756528793,6.590
1756529093,6.587
1756529393,6.577
1756529693,6.580
1756529993,6.591
1756530293,6.584
1756530593,6.590
1756530893,6.579
1756531193,6.591
1756531493,6.586
1756531793,6.588
1756532093,6.592
1756532393,6.588
1756532693,6.590
1756532993,6.588
1756533293,6.586
1756533593,6.591
1756533892,6.577
1756534192,6.575
1756534492,6.587
1756534792,6.587
1756535092,6.587
1756535392,6.584
1756535692,6.595
1756535992,6.599
1756536292,6.582
1756536592,6.586
1756536892,6.594
1756537192,6.594
1756537492,6.594
1756537792,6.595
1756538092,6.597
1756538392,6.598
1756538692,6.604
1756538992,6.585
1756539292,6.593
1756539592,6.596
1756539892,6.604
1756540192,6.597
1756540492,6.591
1756540792,6.591
1756541092,6.593
1756541392,6.601
1756541692,6.605
1756541992,6.605
1756542292,6.599
1756542592,6.603
1756542892,6.594
1756543192,6.601
1756543492,6.596
1756543792,6.604
1756544092,6.602
1756544392,6.603
1756544692,6.603
1756544992,6.600
1756545292,6.591
1756545592,6.593
1756545892,6.600
1756546192,6.586
1756546492,6.601
1756546792,6.589
1756547092,6.587
1756547392,6.577
1756547692,6.592
1756547992,6.590
1756548292,6.586
1756548592,6.599
1756548892,6.597
1756549192,6.590
1756549492,6.618
1756549792,6.603
1756550092,6.603
1756550392,6.601
1756550692,6.602
1756550992,6.599
1756551292,6.597
1756551592,6.590
1756551892,6.585
1756552192,6.595
1756552492,6.609
1756552792,6.602
1756553092,6.599
1756553392,6.606
1756553692,6.603
1756553992,6.600
1756554292,6.596
1756554592,6.601
1756554892,6.599
1756555192,6.590
1756555492,6.598
1756555792,6.595
1756556092,6.594
1756556392,6.600
1756556692,6.589
1756556992,6.596
1756557292,6.602
1756557592,6.600
1756557892,6.600
1756558192,6.588
1756558492,6.599
1756558792,6.586
1756559092,6.603
1756559392,6.599
1756559692,6.591
1756559992,6.591
1756560292,6.594
1756560592,6.593
1756560892,6.592
1756561192,6.589
1756561491,6.587
1756561791,6.594
1756562091,6.594
1756562391,6.580
1756562691,6.589
1756562991,6.584
1756563291,6.580
1756563591,6.581
1756563891,6.586
1756564191,6.581
1756564491,6.582
1756564791,6.581
1756565091,6.576
1756565391,6.572
1756565691,6.576
1756565991,6.570
1756566291,6.573
1756566591,6.568
1756566891,6.571
1756567191,6.565
1756567491,6.567
1756567791,6.566
1756568091,6.569
1756568391,6.564
1756568691,6.563
1756568991,6.566
1756569291,6.572
1756569591,6.564
1756569891,6.566
1756570191,6.571
1756570491,6.570
1756570791,6.568
1756571091,6.567
1756571391,6.557
1756571691,6.568
1756571991,6.566
1756572291,6.572
1756572591,6.563
1756572891,6.568
1756573191,6.560
1756573491,6.562
1756573791,6.562
1756574091,6.567
1756574391,6.563
1756574691,6.563
1756574991,6.564
1756575291,6.564
1756575591,6.563
1756575891,6.566
1756576191,6.569
1756576491,6.562
1756576791,6.561
1756577091,6.566
1756577391,6.564
1756577691,6.565
1756577991,6.563
1756578291,6.568
1756578591,6.570
1756578891,6.567
1756579191,6.564
1756579491,6.566
1756579791,6.564
1756580091,6.568
1756580391,6.570
1756580691,6.565
1756580991,6.575
1756581291,6.562
1756581591,6.572
1756581891,6.561
1756582191,6.568
1756582491,6.564
1756582791,6.569
1756583091,6.562
1756583391,6.568
1756583691,6.563
1756583991,6.569
1756584291,6.570
1756584591,6.565
1756584891,6.567
1756585191,6.566
1756585491,6.564
1756585791,6.569
1756586091,6.564
1756586391,6.566
1756586691,6.572
1756586991,6.575
1756587291,6.576
1756587591,6.575
1756587891,6.571
1756588191,6.565
1756588491,6.576
1756588791,6.571
1756589091,6.570
1756589391,6.573
1756589691,6.578
1756589991,6.569
1756590291,6.572
1756590591,6.576
1756590890,6.574
1756591190,6.577
1756591490,6.569
1756591790,6.574
1756592090,6.575
1756592390,6.576
1756592690,6.573
1756592990,6.572
1756593290,6.575
1756593590,6.578
1756593890,6.582
1756594190,6.579
1756594490,6.573
1756594790,6.577
1756595090,6.577
1756595390,6.578
1756595690,6.584
1756595990,6.577
1756596290,6.580
1756596590,6.579
1756596890,6.583
1756597190,6.587
1756597490,6.577
1756597790,6.582
1756598090,6.578
1756598390,6.579
1756598690,6.587
1756598990,6.583
1756599290,6.582
1756599590,6.582
1756599890,6.585
1756600190,6.584
1756600490,6.586
1756600790,6.589
1756601090,6.582
1756601390,6.583
1756601690,6.585
1756601990,6.582
1756602290,6.579
1756602590,6.586
1756602890,6.583
1756603190,6.580
1756603490,6.580
1756603790,6.583
1756604090,6.588
1756604390,6.590
1756604690,6.589
1756604990,6.580
1756605290,6.585
1756605590,6.584
1756605890,6.584
1756606190,6.583
1756606490,6.583
1756606790,6.584
1756607090,6.580
1756607390,6.592
1756607690,6.579
1756607990,6.587
1756608290,6.590
1756608590,6.588
1756608890,6.590
1756609190,6.583
1756609490,6.585
1756609790,6.591
1756610090,6.588
1756610390,6.589
1756610690,6.581
1756610990,6.584
1756611290,6.588
1756611590,6.584
1756611890,6.589
1756612190,6.587
1756612490,6.587
1756612790,6.592
1756613090,6.595
1756613390,6.595
1756613690,6.596
1756613990,6.582
1756614290,6.584
1756614590,6.583
1756614890,6.589
1756615190,6.596
1756615490,6.598
1756615790,6.594
1756616090,6.593
1756616390,6.592
1756616690,6.587
1756616990,6.591
1756617290,6.592
1756617590,6.594
1756617890,6.599
1756618190,6.590
1756618490,6.599
1756618790,6.596
1756619089,6.594
1756619389,6.595
1756619689,6.594
1756619989,6.604
1756620289,6.600
1756620589,6.593
1756620889,6.592
1756621189,6.595
1756621489,6.592
1756621789,6.591
1756622089,6.598
1756622389,6.599
1756622689,6.584
1756622989,6.599
1756623289,6.593
1756623589,6.594
1756623889,6.597
1756624189,6.604
1756624489,6.603
1756624789,6.596
1756625089,6.596
1756625389,6.599
1756625689,6.605
1756625989,6.593
1756626289,6.600
1756626589,6.599
1756626889,6.596
1756627189,6.599
1756627489,6.608
1756627789,6.604
1756628089,6.599
1756628389,6.596
1756628689,6.598
1756628989,6.605
1756629289,6.599
1756629589,6.605
1756629889,6.608
1756630189,6.611
1756630489,6.615
1756630789,6.610
1756631089,6.609
1756631389,6.602
1756631689,6.599
1756631989,6.601
1756632289,6.599
1756632589,6.602
1756632889,6.595
1756633189,6.604
1756633489,6.604
1756633789,6.603
1756634089,6.608
1756634389,6.611
1756634689,6.614
1756634989,6.598
1756635289,6.605
1756635589,6.608
1756635889,6.610
1756636189,6.607
1756636489,6.606
1756636789,6.614
1756637089,6.611
1756637389,6.596
1756637689,6.604
1756637989,6.615
1756638289,6.605
1756638589,6.611
1756638889,6.606
1756639189,6.610
1756639489,6.602
1756639789,6.607
1756640089,6.616
1756640389,6.618
1756640689,6.607
1756640989,6.614
1756641289,6.620
1756641589,6.614
1756641889,6.611
1756642189,6.615
1756642489,6.607
1756642789,6.610
1756643089,6.607
1756643389,6.607
1756643689,6.606
1756643989,6.606
1756644289,6.612
1756644589,6.606
1756644889,6.611
1756645189,6.613
1756645489,6.605
1756645789,6.603
1756646089,6.609
1756646389,6.610
1756646689,6.609
1756646989,6.611
1756647288,6.598
1756647588,6.594
1756647888,6.595
1756648188,6.599
1756648488,6.600
1756648788,6.599
1756649088,6.608
1756649388,6.592
1756649688,6.599
1756649988,6.600
1756650288,6.599
1756650588,6.599
1756650888,6.603
1756651188,6.598
1756651488,6.591
1756651788,6.595
1756652088,6.593
1756652388,6.590
1756652688,6.591
1756652988,6.593
1756653288,6.600
1756653588,6.597
1756653888,6.588
1756654188,6.583
1756654488,6.592
1756654788,6.588
1756655088,6.590
1756655388,6.593
1756655688,6.586
1756655988,6.589
1756656288,6.585
1756656588,6.586
1756656888,6.589
1756657188,6.588
1756657488,6.590
1756657788,6.576
1756658088,6.584
1756658388,6.589
1756658688,6.589
1756658988,6.580
1756659288,6.585
1756659588,6.582
1756659888,6.583
1756660188,6.583
1756660488,6.581
1756660788,6.591
1756661088,6.583
1756661388,6.579
1756661688,6.579
1756661988,6.587
1756662288,6.580
1756662588,6.584
1756662888,6.582
1756663188,6.589
1756663488,6.581
1756663788,6.578
1756664088,6.577
1756664388,6.580
1756664688,6.580
1756664988,6.582
1756665288,6.574
1756665588,6.574
1756665888,6.579
1756666188,6.580
1756666488,6.591
1756666788,6.581
1756667088,6.584
1756667388,6.588
1756667688,6.583
1756667988,6.582
1756668288,6.581
1756668588,6.583
1756668888,6.586
1756669188,6.589
1756669488,6.588
1756669788,6.583
1756670088,6.583
1756670388,6.588
1756670688,6.583
1756670988,6.588
1756671288,6.588
1756671588,6.595
1756671888,6.584
1756672188,6.586
